id,project_reference,identifier,version,created_on,category_id,active,uuid
1,1690,13629,1,2019-03-23,3,false,3204ef34-6538-4f9a-9027-a46693e061a5
2,1128,13629,2,2019-03-23,2,false,a71ef419-a484-48d9-baa3-2b88837bcb00
3,1674,13629,3,2019-03-23,4,false,49fea53a-cec8-48be-80ad-6c6b2757d61f
4,1399,13629,4,2019-03-23,2,true,4234c5e4-f66b-406d-9ea1-972b26ffe486
5,1809,10202,1,2019-03-23,3,false,5ed86def-342d-4e98-bf31-81ec4a84008c
6,1034,10202,2,2019-03-23,3,false,e93543ce-deea-48de-8d17-b78e7444c045
7,1596,10202,3,2019-03-23,4,false,dd19f18d-0669-4ece-8812-47fb88fd4bfe
8,1755,10202,4,2019-03-23,3,true,be741400-d4c2-4276-81a5-1fd73bab7f08
9,1463,15379,1,2019-03-23,4,false,2993ad23-f92a-467b-a81e-3ca95492c3aa
10,1701,15379,2,2019-03-23,1,false,272be4a0-80ba-43d6-8d72-4d26a222954e
11,1954,15379,3,2019-03-23,1,false,fcd556c1-70a4-47fa-ba42-d99bbe9a0336
12,1317,15379,4,2019-03-23,3,false,e15f37ed-93a0-40a5-9fab-ee16d04dcb50
13,1859,15379,5,2019-03-23,1,false,5dde57fb-48b8-4681-8aaa-5e781bc20ec9
14,1859,15379,6,2019-03-23,3,false,53291d3d-fbe9-499e-b2f0-f70dd5057f2d
15,1690,15379,7,2019-03-23,1,false,e6310090-836f-4685-8d28-333708d51206
16,1789,15379,8,2019-03-23,3,false,9903d649-fb31-4e89-a501-0ae42fcd5af8
17,1755,15379,9,2019-03-23,1,true,13448570-03e0-4e47-b47e-3e4340883387
18,1927,15379,10,2019-03-23,4,false,5f11835a-fc5c-4e4f-b00a-66b52244c2c6
19,1859,14007,1,2019-03-23,3,false,1d664124-cf59-401e-8f80-cd5ee433feef
20,1317,14007,2,2019-03-23,4,false,0f135f9d-631f-417f-9165-d4496dafce74
21,1960,14007,3,2019-03-23,2,false,64a019bd-ffb4-42b5-b72d-9538b18b67fb
22,1859,14007,4,2019-03-23,2,true,2e81534e-414e-48d2-b7da-53dcbbc3dafd
23,1902,15343,1,2019-03-23,2,false,dbf19a4b-b5d9-4a64-ac6e-a4c5353437e7
24,1789,15343,2,2019-03-23,3,false,e3c12428-b880-445c-ad28-a8e149ddd5e9
25,1295,15343,3,2019-03-23,1,false,25692db9-6130-4d85-9fab-6fb63422ffad
26,1954,15343,4,2019-03-23,4,true,6f54567f-4878-425a-9dfb-fed2a1c31bb3
27,1403,13579,1,2019-03-23,4,false,caaef621-4ab0-4ec0-951c-46d3a1233838
28,1034,13579,2,2019-03-23,3,false,f0301934-ed68-4fa0-8458-10f11bd84ef1
29,1399,13579,3,2019-03-23,3,false,5c31b7dc-4391-44e7-bd5a-3ae375e7a607
30,1796,13579,4,2019-03-23,1,false,a279f8b1-5f21-4264-addd-6791ba451936
31,1034,13579,5,2019-03-23,2,true,fd7db828-3e41-4b06-b803-02349e5a84dc
32,1954,17768,1,2019-03-23,3,false,69afe0b7-59ac-4812-89fb-6add6013f3f0
33,1403,17768,2,2019-03-23,2,false,51049636-5427-4257-9a8e-ef305fb07848
34,1954,17768,3,2019-03-23,3,false,af7823fe-2434-4ef4-a84f-50d36bfd2b27
35,1295,17768,4,2019-03-23,2,true,b17e4e12-2970-491a-8a43-b795bd50b918
36,1701,18862,1,2019-03-23,4,false,745613fe-a72b-44f8-ae08-aa612f2f3179
37,1859,18862,2,2019-03-23,4,false,1fa87bd4-bc7c-4385-b63b-16a823030705
38,1960,18862,3,2019-03-23,2,false,8fb507b1-995d-480e-82c5-57003d51edcb
39,1070,18862,4,2019-03-23,2,false,48249e74-1047-472f-8c8a-2a8d5269aaa0
40,1128,18862,5,2019-03-23,1,true,97df1782-10a1-4fd8-bd15-f909202eef81
41,1789,14480,1,2019-03-23,1,false,ee42c804-1cfb-43b7-9a6b-e5c04958c422
42,1295,14480,2,2019-03-23,1,false,62959811-19dc-4188-9d1b-04e0afb58e05
43,1902,14480,3,2019-03-23,4,false,4868387e-9994-408c-af47-b1ed7153b84e
44,1789,14480,4,2019-03-23,4,false,68f9e128-b0ca-4a18-8ae4-8c556b13fa64
45,1667,14480,5,2019-03-23,3,false,ec3c6caf-0e97-4b46-93d2-40cb51e86ea6
46,1927,14480,6,2019-03-23,3,false,c8eaade2-c8b2-4399-b46d-151fd3d4dcfb
47,1317,14480,7,2019-03-23,3,false,815475d7-914f-4439-a8d3-dc6c61d26c92
48,1596,14480,8,2019-03-23,4,false,93cb26f3-4680-4b0b-aebe-1663c5c34336
49,1789,14480,9,2019-03-23,2,true,d5240207-f4d2-45f3-a28c-9c18166f219b
50,1927,18592,1,2019-03-23,3,false,20862296-78f8-456d-bd99-5d2e5214568a
51,1403,18592,2,2019-03-23,1,false,4e5923b3-efc7-438a-8fc4-55b603a3f789
52,1960,18592,3,2019-03-23,4,false,cef5173b-bc2b-4093-8cd2-83d3359820ba
53,1667,18592,4,2019-03-23,2,false,452fa19f-4e84-4ce2-97b0-7cab3ae4f3c3
54,1403,18592,5,2019-03-23,2,false,048412bb-1d6a-4d07-b907-43be68a5624e
55,1927,18592,6,2019-03-23,3,true,a619317a-8276-4072-ae16-b28e1406f8cf
56,1789,18923,1,2019-03-23,3,false,c92c1572-3310-4bbc-8cde-162d0c4cb548
57,1403,18923,2,2019-03-23,4,false,15d53312-da8f-4029-9132-66adc40d3302
58,1039,18923,3,2019-03-23,4,false,339baeb8-2cd1-47a3-8c82-f85799018995
59,1596,18923,4,2019-03-23,4,false,229ac81b-13f6-4da7-b51b-65eb95f0dfbe
60,1463,18923,5,2019-03-23,4,false,a4be2003-3921-41d3-8334-af57dc9c2ec7
61,1902,18923,6,2019-03-23,1,false,db7bb19c-e5f3-49ee-b661-eda697f45d97
62,1039,18923,7,2019-03-23,1,false,4c951c0c-4fc9-4184-aa2c-59cd662ecdee
63,1755,18923,8,2019-03-23,4,false,b605e999-35b0-403e-8edd-fb1c9e28382a
64,1070,18923,9,2019-03-23,4,true,3a79b9c0-472e-4dce-a069-6cf7b0292c92
65,1902,18923,10,2019-03-23,3,false,c28c083a-245f-4e49-acb1-ded1af2b5051
66,1755,16351,1,2019-03-23,2,false,500924f3-be7f-4aa6-b1e7-06046ee913bf
67,1701,16351,2,2019-03-23,3,false,0d93a959-ca08-4643-8b06-1dde7af79897
68,1434,16351,3,2019-03-23,4,false,9d410a63-ebff-4d4b-945d-143af6a5de1f
69,1690,16351,4,2019-03-23,1,false,08ab5267-581d-4756-88c4-6f84c2b377e3
70,1789,16351,5,2019-03-23,1,false,7ef9ec5f-60cc-4411-8f3f-aa839eaaae41
71,1902,16351,6,2019-03-23,4,false,de173cfa-660e-4a53-b015-0f585dc89ae7
72,1755,16351,7,2019-03-23,2,false,2b83c5e7-b307-4346-b9bc-76b5aff1eab5
73,1434,16351,8,2019-03-23,1,false,01f3e0c4-3513-4330-ab7b-e4d36960070b
74,1070,16351,9,2019-03-23,3,true,a7709bea-7c9c-43f9-bd30-b81ec01a9eef
75,1596,15194,1,2019-03-23,3,false,a2fe04fb-b931-4db3-b0ed-e3587a15b01c
76,1954,15194,2,2019-03-23,1,false,46cd9ba1-553a-48b3-aace-310b207b3a31
77,1250,15194,3,2019-03-23,2,false,8774759a-ffc5-4b2c-8835-af3c6f559532
78,1796,15194,4,2019-03-23,3,false,385fb480-fd96-46c0-a369-1132b07a220d
79,1796,15194,5,2019-03-23,1,false,551523d5-70a6-4636-9f65-32546670cd47
80,1796,15194,6,2019-03-23,3,false,6056e3ac-bb86-418c-a1b8-77762122f4b0
81,1034,15194,7,2019-03-23,1,true,a8263567-77c4-49a5-8767-bc43b8e07532
82,1317,16104,1,2019-03-23,3,false,8b4427c0-1b94-47fd-ae72-b8d71344f985
83,1128,16104,2,2019-03-23,4,false,ebb0be14-c054-4dce-8919-7fab9deead37
84,1070,16104,3,2019-03-23,3,false,9fd7838f-24ca-4151-abc8-01f19ea1bf76
85,1789,16104,4,2019-03-23,1,false,2c400307-dbde-4899-9972-55a72680cf69
86,1755,16104,5,2019-03-23,4,false,89889a20-34da-450f-a0a4-a76777682bac
87,1954,16104,6,2019-03-23,4,false,9f4a6f50-587d-43fe-a71e-469931d1ea38
88,1667,16104,7,2019-03-23,3,false,1a168caf-5466-46be-b993-18dd9832f1a1
89,1960,16104,8,2019-03-23,4,true,f319e985-c42f-4367-9940-fca91630cd42
90,1070,14581,1,2019-03-23,3,false,6eb6b745-15bb-4663-9b15-e2ebb83bfff5
91,1796,14581,2,2019-03-23,2,false,5268007b-2bac-4988-9f85-2d6f10de7258
92,1667,14581,3,2019-03-23,1,false,e81025e4-43fc-41cb-8995-20c031d89e8a
93,1789,14581,4,2019-03-23,3,false,d2c038df-a20e-4f4d-b37c-f422e83fd114
94,1128,14581,5,2019-03-23,1,false,065022ab-cd7b-4626-8e28-1bd5f8ed941d
95,1317,14581,6,2019-03-23,4,false,461f6093-1fa5-4c8a-9886-0eabb1748e21
96,1859,14581,7,2019-03-23,4,false,a0f88fc7-c127-4e95-a9e0-39381d6a816b
97,1954,14581,8,2019-03-23,1,false,4ca154b4-9449-4368-9a01-05c7c4c2273a
98,1596,14581,9,2019-03-23,4,true,86fd2867-70c7-46b7-b518-67dc9b3b97c5
99,1954,14581,10,2019-03-23,1,false,c545adaa-4b14-41de-80ed-5251bb4a107b
